idx,row,col,lon_deg,lat_deg,elev_m,slope_deg,seg_dist_m,cum_dist_m,seg_time_s,cum_time_s
93,14926,12026,23.489257805013267,0.8466796875404983,-1958.7596654891968,2.039041533978949,83.75721372749119,5949.526882094846,119.44243676345032,7947.127924866991
94,14925,12027,23.49121093001338,0.8486328125405919,-1954.6791315078735,2.477057100327131,83.75721372749119,6033.284095822337,148.4680341144345,8095.595958981426
95,14924,12028,23.493164055013494,0.8505859375406853,-1955.6671380996704,0.8079345353362464,83.75721372749119,6117.041309549828,114.45701993146749,8210.052978912892
96,14923,12028,23.493164055013494,0.8525390625407788,-1955.7170867919922,0.18891411001840455,59.2252938,6176.266603349828,65.29726860068449,8275.350247513577
97,14922,12028,23.493164055013494,0.8544921875408723,-1956.0495615005493,0.5614293473525547,59.2252938,6235.491897149828,63.7243826859445,8339.074630199522
98,14921,12029,23.49511718001355,0.8564453125409658,-1956.110119819641,1.43150712076154,83.75721372749119,6319.249110877319,101.82859346119558,8440.903223660718
99,14920,12030,23.497070305013665,0.8583984375410593,-1957.437515258789,0.6944814658253912,83.75721372749119,6403.00632460481,102.9911402107311,8543.89436387145
100,14919,12031,23.49902343001375,0.8603515625411527,-1956.3161134719849,0.527084439478713,83.75721372749119,6486.763538332301,97.84754327233526,8641.741907143785
101,14918,12032,23.500976555013835,0.8623046875412462,-1960.2841138839722,3.006581659271337,83.75721372749119,6570.520752059792,114.59783162166593,8756.339738765451
102,14917,12032,23.500976555013835,0.8642578125413398,-1962.6892805099487,1.1010876797966491,59.2252938,6629.7460458597925,87.00630892483662,8843.346047690287
103,14916,12032,23.500976555013835,0.8662109375414333,-1962.3647928237915,0.5426435343912728,59.2252938,6688.971339659793,70.65864869510177,8914.00469638539
104,14915,12032,23.500976555013835,0.8681640625415268,-1963.800311088562,1.8378004909925125,59.2252938,6748.196633459793,74.15765936204913,8988.162355747438
105,14914,12032,23.500976555013835,0.8701171875416203,-1965.902328491211,2.8600606452235553,59.2252938,6807.421927259793,93.5826981979992,9081.745053945437
106,14913,12033,23.50292968001392,0.8720703125417137,-1972.9515314102173,2.0217993526550173,83.75721372749119,6891.179140987284,133.7412049658737,9215.48625891131
107,14912,12033,23.50292968001392,0.8740234375418072,-1973.2779264450073,1.0032915248760552,59.2252938,6950.404434787284,79.64492693960364,9295.131185850914
108,14911,12033,23.50292968001392,0.8759765625419007,-1973.8291501998901,1.158578872472597,59.2252938,7009.629728587284,73.37295944457338,9368.504145295488
109,14910,12034,23.504882805014034,0.8779296875419942,-1974.381685256958,0.5057154030074109,83.75721372749119,7093.386942314775,98.58346835626773,9467.087613651756
110,14909,12034,23.504882805014034,0.8798828125420877,-1974.6257066726685,0.6143637590616322,59.2252938,7152.612236114775,66.18632698260983,9533.273940634366
111,14908,12034,23.504882805014034,0.8818359375421813,-1974.854826927185,0.5154014998812054,59.2252938,7211.837529914776,66.25446406194278,9599.52840469631
112,14907,12034,23.504882805014034,0.8837890625422747,-1975.5128622055054,0.6112806359053877,59.2252938,7271.062823714776,66.1385168962601,9665.66692159257
113,14906,12034,23.504882805014034,0.8857421875423681,-1975.6866693496704,0.575424194748157,59.2252938,7330.288117514776,66.64806420976151,9732.314985802332
114,14905,12034,23.504882805014034,0.8876953125424616,-1975.6598472595215,0.33413075320725083,59.2252938,7389.513411314776,64.91932382379393,9797.234309626125
115,14904,12034,23.504882805014034,0.8896484375425552,-1976.187825202942,0.5559635276937998,59.2252938,7448.738705114776,64.60751596459103,9861.841825590716
116,14903,12034,23.504882805014034,0.8916015625426487,-1976.6777753829956,0.38477322807298825,59.2252938,7507.963998914776,64.9503219479349,9926.792147538652
117,14902,12034,23.504882805014034,0.8935546875427421,-1976.846694946289,0.23945065034618646,59.2252938,7567.1892927147765,62.99751248401879,9989.78966002267
118,14901,12034,23.504882805014034,0.8955078125428356,-1977.1722555160522,0.8619735072256174,59.2252938,7626.414586514777,65.92092449903954,10055.71058452171
119,14900,12034,23.504882805014034,0.8974609375429292,-1978.5758256912231,0.5338175732196447,59.2252938,7685.639880314777,67.73892075849365,10123.449505280203
120,14899,12034,23.504882805014034,0.8994140625430227,-1978.117823600769,1.2070561715463433,59.2252938,7744.865174114777,71.70099238862814,10195.150497668832
121,14898,12034,23.504882805014034,0.9013671875431162,-1978.158950805664,0.5496813713376824,59.2252938,7804.090467914777,70.43740457671264,10265.587902245545
122,14897,12035,23.50683593001412,0.9033203125432097,-1978.68812084198,0.20026892161384194,83.75721372749119,7887.847681642268,90.1111786305002,10355.699080876046
123,14896,12035,23.50683593001412,0.9052734375433032,-1978.4555435180664,0.48852442206233987,59.2252938,7947.072975442268,64.04782881005099,10419.746909686097
124,14895,12035,23.50683593001412,0.9072265625433965,-1979.166865348816,0.49515889591733886,59.2252938,8006.298269242268,65.19075177415971,10484.937661460257
125,14894,12035,23.50683593001412,0.90917968754349,-1978.7858724594116,0.18533329618848024,59.2252938,8065.5235630422685,64.39270837062514,10549.330369830883
126,14893,12035,23.50683593001412,0.9111328125435835,-1979.0618419647217,0.4663565650604061,59.2252938,8124.748856842269,63.129702585257924,10612.460072416141
127,14892,12035,23.50683593001412,0.9130859375436771,-1979.6168804168701,0.9101905995999882,59.2252938,8183.974150642269,67.7718036091591,10680.2318760253
128,14891,12035,23.50683593001412,0.9150390625437705,-1980.2608489990234,0.11906385958528327,59.2252938,8243.199444442269,65.29893512814465,10745.530811153445
129,14890,12035,23.50683593001412,0.916992187543864,-1979.8628091812134,1.5627163390255472,59.2252938,8302.424738242269,70.52335984040101,10816.054170993846
130,14889,12035,23.50683593001412,0.9189453125439575,-1983.4398031234741,2.265559893935986,59.2252938,8361.65003204227,85.60138936237796,10901.655560356225
